concept,label
evilSpirits,evil spirits
theVirginMary,the Virgin Mary
theSun,the Sun
thunder,thunder
traitor,traitor
transcendence,transcendence
turkmenistan,Turkmenistan
utah,Utah
volubility,volubility
westBengal,West Bengal
wisconsin,Wisconsin
wisconsin,Wisconsin
adversaryOfTheSoul,adversary of the soul
annunciation,Annunciation
barnetCopthall,Barnet Copthall
channelOfTruthFromAHigherToALowerNature,channel of truth from a higher to a lower nature
charity,charity
charity,Charity
charity,Charity)
angola,Angola
atabeyGoddess,Atabey (goddess)
destructionOfTheSoul,destruction of the soul
erisMythology,Eris (mythology)
judgmentOfTheDead,judgment of the dead
logicPersonified,Logic personified
loveReturned,love returned
mayAlsoStandForAveMariaLatinForHailMary,"may also stand for ave Maria, Latin for “hail Mary”"
omegaDeltaSigma,Omega Delta Sigma
partOfTheProcessOfSpiritualAwakening,part of the process of spiritual awakening
poverty,poverty
retribution,retribution
standsForAuspiceMariaLatinForUnderTheProtectionOfMary,"stands for auspice Maria, Latin for “under the protection of Mary”"
standsForAveMariaGratiaPlenaDominusTecumTheFirstWordsOfTheHailMaryPrayerInLatin,"stands for Ave Maria, gratia plena, Dominus tecum, the first words of the Hail Mary prayer in Latin"
theConflictOfGoodAndEvilWithinTheSelf,the conflict of good and evil within the self
theConflictOfGoodAndEvilWithinTheSelf,the conflict of good and evil within the self
adonis,Adonis
alberta,Alberta
argentina,Argentina
argentina,Argentina
arizona,Arizona
arizona,Arizona
arkansas,Arkansas
arkansas,Arkansas
armenia,Armenia
armenia,Armenia
armenia,Armenia
armenia,Armenia
athena,Athena
australia,Australia
azerbaijan,Azerbaijan
belarus,Belarus
bhutan,Bhutan
buddhism,Buddhism
bulgaria,Bulgaria
bulgaria,Bulgaria
california,California
cambodia,Cambodia
canada,Canada
colorado,Colorado
colorado,Colorado
communism,communism
connecticut,Connecticut
dignity,dignity
england,England
friendship,friendship
georgiaCountry,Georgia (country)
gibraltar,Gibraltar
hawaii,Hawaii
hawaii,Hawaii
indonesia,Indonesia
indonesia,Indonesia
iraq,Iraq
israel,Israel
kazakhstan,Kazakhstan
kazakhstan,Kazakhstan
korea,Korea
kyiv,Kyiv
kyrgyzstan,Kyrgyzstan
mexico,Mexico
moldova,Moldova
muSigmaUpsilon,Mu Sigma Upsilon
nagaland,Nagaland
nato,NATO
newJersey,New Jersey
newMexico,New Mexico
newZealand,New Zealand
nigeria,Nigeria
persuasion,persuasion
portugal,Portugal
renunciation,renunciation
royalty,royalty
southAfrica,South Africa
switzerland,Switzerland
tajikistan,Tajikistan
theAnnunciation,the Annunciation
theBahamas,the Bahamas
theEuropeanUnion,the European Union
theRepublicOfIreland,the Republic of Ireland
theUnitedStates,the United States
theUnitedStates,the United States
theVirginMary,the Virgin Mary
theWordOfGod,the word of God
theWordOfGod,the Word of God
tripura,Tripura
turanMythology,Turan (mythology)
turkmenistan,Turkmenistan
ukraine,Ukraine
uranusPlanet,Uranus (planet)
utah,Utah
uttarakhand,Uttarakhand
uzbekistan,Uzbekistan
venezuela,Venezuela
adulation,adulation
bran,Bran
cannibals,cannibals
acknowledgment,acknowledgment
containerForTortureAndCapitalPunishment,container for torture and capital punishment
entranceToTheOtherWorld,entrance to the other-world
fausta,Fausta
gateToTheUnderworld,gate to the Underworld
homeOfAgastya,home of Agastya
homeOfGnomesRobbersMonsters,"home of gnomes, robbers, monsters"
kappaPsiKappa,Kappa Psi Kappa
keridwen,Keridwen
magicVesselOfRejuvenation,magic vessel of rejuvenation
meetingPlaceOfTheDivineAndHuman,meeting place of the divine and human
moralVirtue,moral virtue
nalakuvara,Nalakuvara
partialSpiritualInsightOrDevelopment,partial spiritual insight or development
passagewayBetweenEarthAndHeaven,passageway between Earth and heaven
paternalError,paternal error
placeOfEarthlyEnergy,place of earthly energy
placeOfUnionOfSelfAndEgo,place of union of Self and Ego
placeOfWorshipOfMithras,place of worship of Mithras
primitivePartOfTheSelf,primitive part of the self
realmOfRebirth,realm of rebirth
receptacleForOfferings,receptacle for offerings
reproductiveEarthPowers,reproductive earth powers
restoresWarriorsToLife,restores warriors to life
resuscitation,resuscitation
sixthWeddingAnniversaries,sixth wedding anniversaries
sustenance,sustenance
theCornucopia,the cornucopia
theDesireToConcentrateAllThePossibilitiesOfExistenceInAGivenPeriodOfTime,the desire to concentrate all the possibilities of existence in a given period of time
theDesperateQuestForAWayOutOfTime,the desperate quest for a way out of time
theGrail,the Grail
unheededProphet,unheeded prophet
vitus,Vitus
abundance,abundance
abundance,Abundance
anput,Anput
arizona,Arizona
arizona,Arizona
barbados,Barbados
benevolence,benevolence
california,California
california,California
california,California
california,California
california,California
canada,Canada
canada,Canada
canada,Canada
canada,Canada
canada,Canada
canada,Canada
canada,Canada
chile,Chile
colombia,Colombia
colombia,Colombia
dagda,Dagda
distinction,distinction
ecuador,Ecuador
equatorialGuinea,Equatorial Guinea
fertility,fertility
idleChatter,idle chatter
indifference,indifference
inexhaustibleSustenance,inexhaustible sustenance
inspiration,inspiration
invocationOfPrimordialChaos,invocation of primordial chaos
louisiana,Louisiana
magnificentBeauty,magnificent beauty
martyrdom,martyrdom
mother,mother
nauru,Nauru
nunavut,Nunavut
paxGoddess,Pax (goddess)
perseverance,perseverance
rebirth,rebirth
resurrection,resurrection
southAfrica,South Africa
spain,Spain
spiritualDecay,spiritual decay
ssBoniface,SS Boniface
stErasmus,St. Erasmus
texas,Texas
thailand,Thailand
theCircus,the circus
theFemininePrinciple,the feminine principle
theLimitationOfIdeas,the limitation of ideas
thePhilippines,the Philippines
thePhilippines,the Philippines
theUnderworld,the underworld
theUnderworld,the Underworld
theUnitedKingdom,the United Kingdom
utah,Utah
utah,Utah
virginia,Virginia
virginia,Virginia
wisconsin,Wisconsin
witchcraft,witchcraft
womb,womb
wyoming,Wyoming
yCahu,Yúcahu
aBuddhistMonk,a Buddhist monk
ageAtWhichACraneBecomesAllBlack,age at which a crane becomes all black
aloofnessFromLife,aloofness from life
anUnknownLatentPotentialActivelyWorkingToAppear,an unknown latent potential actively working to appear
booksInTheMishna,books in the Mishna
chaptersOfTheKoran,chapters of the Koran
begging,begging
brunei,Brunei
deltaTauLambda,Delta Tau Lambda
highTreasonAndTheRejectionOfGod,high treason and the rejection of God
homosexuals,homosexuals
inMohammedSVisionHeSawAnAngelWith70000HeadsEachOfWhichHad70000Mouths,"in Mohammed’s vision, he saw an angel with 70,000 heads each of which had 70,000 mouths"
lettersInTheLatinAlphabet,letters in the Latin alphabet
manSRedemptionByChrist,man’s redemption by Christ
mentalOrSpiritualDisorder,mental or spiritual disorder
numberOfAtomsComposingTheEarth,number of atoms composing the earth
numberOfGatesOrDoorsInValhalla,number of gates or doors in Valhalla
omicronDeltaKappa,Omicron Delta Kappa
petalsOfTheAjnaChakraBetweenTheEyebrows,petals of the Ajna Chakra (between the eyebrows)
psiSigmaPhi,Psi Sigma Phi
riverOfHeaven,River of Heaven
sacrifice,sacrifice
satanicInfluenceInManWhereIsManifestedAsDeceitfulAndDeformedDivineTruths,satanic influence in man where is manifested as deceitful and deformed divine truths
selfRealizationThroughAJourney,self-realization through a journey
solarYearsInADayOfBrahma,solar years in a day of Brahma
solarYearsInAGreatKalpa,solar years in a great kalpa
solarYearsInAManvantara,solar years in a manvantara
solarYearsInAMediumKalpa,solar years in a medium kalpa
solarYearsInAMonthOfBrahma,solar years in a month of Brahma
solarYearsInARegularKalpa,solar years in a regular kalpa
solarYearsInASatayuga,solar years in a satayuga
solarYearsInASmallKalpa,solar years in a small kalpa
surrenderOfTheEgo,surrender of the ego
