symbol,concept,contexts,types
embodiment,aFamiliarIdeaPersonified,generalOrUnknown,Simulation
xpXPChiRho,abbreviationOfChrestonMeaningAGoodThingOrAGoodOmenAndUsedInATextToMarkAnImportantPassage,greek,Simulation
wormwood,absence,flowerLanguage,Simulation
14,14ManousControlTheWorldInSuccessiveReignsDuringTheGreatCycleOfMahakalpa,buddhist,Simulation
15Or21Gates,aalu,egyptian,AttributeSimulation
27,27WomenAccompaniedSoma,hindu,Simulation
70,70VirginsTendedBuddhaAsABaby,buddhist,Simulation
8,abnormalTendencies,generalOrUnknown,Simulation
abyss,abasement,generalOrUnknown,Simulation
amethyst,27thWeddingAnniversaries,generalOrUnknown,AssociationSimulation
aquamarineStone,18thAnd19ThWeddingAnniversaries,generalOrUnknown,AssociationSimulation
basin,aBarber,generalOrUnknown,AttributeSimulation
batAnimal,aBatWillSwallowTheSunAtTheEndOfTheWorld,tupinamba,Simulation
birdWithAHumanHead,aBa,egyptian,Simulation
blindness,abilityToSeePastTheVanitiesOfTheWorldToDeeperTruths,generalOrUnknown,Simulation
book,4thWeddingAnniversaries,generalOrUnknown,RelatednessSimulation
breakingOneSScepter,abdication,generalOrUnknown,Simulation
bronze,19thWeddingAnniversaries,generalOrUnknown,AssociationSimulation
bronze,8th,generalOrUnknown,AssociationSimulation
calfCattle,aBeastOfTheThroneOfGod,christian,Simulation
cassielArchangel,7thHeaven,generalOrUnknown,AssociationSimulation
chinaPottery,20thWeddingAnniversaries,generalOrUnknown,AssociationSimulation
christWithBasketsOfBread,000,christian,Simulation
clock,23rdWeddingAnniversaries,generalOrUnknown,AssociationSimulation
coralSeaCoral,35thWeddingAnniversaries,generalOrUnknown,AssociationSimulation
cotton,2ndWeddingAnniversaries,generalOrUnknown,AssociationSimulation
craneBird,abilityToEnterAHigherStateOfConsciousness,generalOrUnknown,Simulation
crosier,abelEspeciallyWhenShownWithLamb,jewish,AttributeSimulation
crystal,15thWeddingAnniversaries,generalOrUnknown,RelatednessSimulation
dandelion,aBitterHerbOfThePassover,jewish,Simulation
deathTarot,abandonmentOfEarthlyDesires,generalOrUnknown,Simulation
descendingALadder,abandonmentOfStandardsBeliefs,generalOrUnknown,Simulation
diamondGem,10th,generalOrUnknown,AssociationSimulation
diamondGem,50th,generalOrUnknown,AssociationSimulation
diamondGem,75thWeddingAnniversaries,generalOrUnknown,AssociationSimulation
dragon,aBeneficentDeity,oriental,AttributeSimulation
earthenware,24thWeddingAnniversaries,generalOrUnknown,AssociationSimulation
ebony,22ndWeddingAnniversaries,generalOrUnknown,AssociationSimulation
electricalAppliances,8thWeddingAnniversaries,generalOrUnknown,AssociationSimulation
emerald,20thAnd35ThWeddingAnniversaries,generalOrUnknown,AssociationSimulation
extinguishingALamp,abandonmentOfHope,generalOrUnknown,Simulation
fire,ababinili,chickasaw,Simulation
flowers,4thWeedingAnniversaries,generalOrUnknown,AssociationSimulation
goldBottle,aBanker,generalOrUnknown,AttributeSimulation
goldenWand,aBardOfTheFirstRank,celtic,AttributeSimulation
highPriestessTarot,aBalanceBetweenInitiativeAndResistance,generalOrUnknown,Simulation
jade,3rdAnd12ThWeddingAnniversaries,generalOrUnknown,AssociationSimulation
jadeite,29thWeddingAnniversaries,generalOrUnknown,AssociationSimulation
jewelry,17thWeddingAnniversaries,generalOrUnknown,AssociationSimulation
knife,aBaseSecretWeaponTheInversionOfTheSword,generalOrUnknown,Simulation
lace,13thWeddingAnniversaries,generalOrUnknown,AssociationSimulation
lake,abodeOfDeities,gallic,Simulation
lapisLazuli,ability,chinese @ generalOrUnknown,Simulation
lead,aBaseMetal,generalOrUnknown,Simulation
leather,3rdWeddingAnniversaries,generalOrUnknown,AssociationSimulation
liguriaItaly,abnormalCoition,generalOrUnknown,Simulation
manticore,aBeastlyRationalist,generalOrUnknown,Simulation
michaelArchangel,4thHeaven,generalOrUnknown,AssociationSimulation
monkey,9thAnimalOfTheTwelveTerrestrialBranches,chinese,Simulation
monkey,abhinandananatha,jain,Simulation
monsterRavagingTheCountryside,aBadKing,generalOrUnknown,Simulation
mule,abbotOrAbbessWithPastoralJurisdictionOnly,heraldic,Simulation
opal,12th,generalOrUnknown,AssociationSimulation
opal,14th,generalOrUnknown,AssociationSimulation
opal,26thWeddingAnniversaries,generalOrUnknown,AssociationSimulation
orchis,aBeauty,flowerLanguage,Simulation
orchis,aBelle,flowerLanguage,Simulation
panther,aBeautifulWomanNormallyTenderButFierceInDefenseOfHerYoung,heraldic,Simulation
pearl,30thWeddingAnniversaries,generalOrUnknown,AssociationSimulation
pearl,3rd,generalOrUnknown,AssociationSimulation
peridot,1stAnd16ThWeddingAnniversaries,generalOrUnknown,AssociationSimulation
pigeon,aBirdOfIllOmen,islamic,Simulation
queenOfHearts,aBlondeWoman,cartomancy,Simulation
raphaelArchangel,2ndHeaven,generalOrUnknown,AssociationSimulation
rice,88thBirthdays,japanese,AssociationSimulation
rooster,abilityInPolitics,heraldic,Simulation
rubber,9thWeddingAnniversaries,generalOrUnknown,AssociationSimulation
samaelArchangel,5thHeaven,generalOrUnknown,AssociationSimulation
sapphire,45th,generalOrUnknown,AssociationSimulation
sapphire,5th,generalOrUnknown,AssociationSimulation
satyr,abandon,grecoRoman,Simulation
serpent,6thOfTheAnimalsOfTheTwelveTerrestrialBranches,chinese,Simulation
shadow,aBhutCastsNoShadow,hindu,Simulation
shepherd,aBishopAbbotOrAbbess,christian,Simulation
silk,4th,generalOrUnknown,AssociationSimulation
silverColorAndMetal,25thSilverAnniversaries,generalOrUnknown,AssociationSimulation
silverWand,aBardOfTheSecondRank,celtic,AttributeSimulation
silverware,16thWeddingAnniversaries,generalOrUnknown,AssociationSimulation
smokyQuartz,70thWeddingAnniversaries,generalOrUnknown,AssociationSimulation
sorcerer,aberrantForcesOfPower,generalOrUnknown,Simulation
steel,11thWeddingAnniversaries,generalOrUnknown,AssociationSimulation
t,2EspeciallyMagnified10Times,generalOrUnknown,AssociationSimulation
tailor,aBadShotWithAWeapon,generalOrUnknown,Simulation
tattooOfAFullRiggedShip,a19ThCenturySailorWhoHadSailedAroundCapeHorn,generalOrUnknown,AttributeSimulation
