symbol,concept,contexts,types
aMGPDT,theVirginMary,christian,AttributeSimulation
cacalia,adulation,flowerLanguage,Simulation
cactusWren,arizona,generalOrUnknown,Simulation
cadencyLabelsOfTheBritishRoyalFamily,theUnitedKingdom,generalOrUnknown,Simulation
caducues,paxGoddess,roman,Simulation
caesalpiniaPulcherrima,barbados,generalOrUnknown,Simulation
caliban,spiritualDecay,generalOrUnknown,Simulation
californiaGrizzlyBear,california,generalOrUnknown,Simulation
californiaGull,utah,generalOrUnknown,Simulation
californianSchooner,california,generalOrUnknown,Simulation
californiaQuail,california,generalOrUnknown,Simulation
californiaRepublic,california,generalOrUnknown,Simulation
californiaStateTartan,california,generalOrUnknown,Simulation
callaAethiopica,magnificentBeauty,flowerLanguage,Simulation
calliopeMusic,theCircus,generalOrUnknown,EmblematicSimulation
calochortusNuttallii,utah,generalOrUnknown,Simulation
calophyllum,nauru,generalOrUnknown,Simulation
calycanthus,benevolence,flowerLanguage,Simulation
calymeneCelebra,wisconsin,generalOrUnknown,Simulation
caminemosPisandoLasSendasDeNuestraInmensaFelicidad,equatorialGuinea,generalOrUnknown,Simulation
canadaTulip,canada,generalOrUnknown,Simulation
canadianDualityFlag,canada,generalOrUnknown,Simulation
canadianEskimoDog,nunavut,generalOrUnknown,Simulation
canadianFootball,canada,generalOrUnknown,Simulation
canadianHorse,canada,generalOrUnknown,Simulation
canadianParliamentaryFlagProgram,canada,generalOrUnknown,Simulation
canadianPavilion,canada,generalOrUnknown,Simulation
canadianRedEnsign,canada,generalOrUnknown,Simulation
canary,idleChatter,generalOrUnknown,Simulation
canaryGrass,perseverance,flowerLanguage,Simulation
canciNAlNueveDeOctubre,ecuador,generalOrUnknown,Simulation
canciNNacionalChilena,chile,generalOrUnknown,Simulation
candy,sixthWeddingAnniversaries,generalOrUnknown,AssociationSimulation
candytuft,indifference,generalOrUnknown,Simulation
cane,kappaPsiKappa,heraldic,Simulation
canopicJars,anput,egyptian,Simulation
canopus,homeOfAgastya,hindu,Simulation
canterburyBell,acknowledgment,flowerLanguage,Simulation
capsicumAnnuumVarGlabriusculum,texas,generalOrUnknown,Simulation
capstan,stErasmus,christian,AttributeSimulation
carabao,thePhilippines,generalOrUnknown,Simulation
cardamine,paternalError,flowerLanguage,Simulation
cardinalFlower,distinction,flowerLanguage,Simulation
cariOsa,thePhilippines,generalOrUnknown,Simulation
carolinaStateSong,virginia,generalOrUnknown,Simulation
carriel,colombia,generalOrUnknown,Simulation
carryMeBackToOldVirginny,virginia,generalOrUnknown,Simulation
casaGrandeSoil,arizona,generalOrUnknown,Simulation
cashewnut,nalakuvara,hindu,Simulation
cassandra,unheededProphet,greek,Simulation
cassava,yCahu,taíno,Simulation
cassiaFistula,thailand,generalOrUnknown,Simulation
castillejaLinariifolia,wyoming,generalOrUnknown,Simulation
castleOfGoodHope,southAfrica,generalOrUnknown,Simulation
catahoulaLeopardDog,louisiana,generalOrUnknown,Simulation
catalanDonkey,spain,generalOrUnknown,Simulation
catfish,partialSpiritualInsightOrDevelopment,generalOrUnknown,Simulation
cato,moralVirtue,roman,Simulation
cattleyaTrianae,colombia,generalOrUnknown,Simulation
cauldron,bran,celtic,AttributeSimulation
cauldron,cannibals,generalOrUnknown,AssociationSimulation
caulking,theLimitationOfIdeas,generalOrUnknown,Simulation
carnival,theDesireToConcentrateAllThePossibilitiesOfExistenceInAGivenPeriodOfTime,generalOrUnknown,Simulation
carnival,theDesperateQuestForAWayOutOfTime,generalOrUnknown,Simulation
cauldron,containerForTortureAndCapitalPunishment,chinese,Simulation
cauldron,fausta,christian,AttributeSimulation
cauldron,keridwen,welsh,AttributeSimulation
cauldron,magicVesselOfRejuvenation,generalOrUnknown,Simulation
cauldron,realmOfRebirth,generalOrUnknown,Simulation
cauldron,receptacleForOfferings,chinese,Simulation
cauldron,reproductiveEarthPowers,celtic,Simulation
cauldron,restoresWarriorsToLife,celtic,Simulation
cauldron,resuscitation,celtic,Simulation
cauldron,sustenance,generalOrUnknown,Simulation
