,symbol,concept,contexts,types,label
0,aMGPDT,theVirginMary,christian,AttributeSimulation,the Virgin Mary
1,aM,theVirginMary,christian,AttributeSimulation,the Virgin Mary
2,shell,theVirginMary,christian,RelatednessSimulation,the Virgin Mary
3,cinnamon,theVirginMary,christian,AttributeSimulation,the Virgin Mary
4,balsam,theVirginMary,christian,EmblematicSimulation,the Virgin Mary
5,almond,theVirginMary,christian,AttributeSimulation,the Virgin Mary
6,blue,theVirginMary,christian,AttributeSimulation,the Virgin Mary
7,clematis,theVirginMary,generalOrUnknown,EmblematicSimulation,the Virgin Mary
8,crescentMoon,theVirginMary,christian,Simulation,the Virgin Mary
9,cypressOfZion,theVirginMary,christian,AttributeSimulation,the Virgin Mary
10,hyacinthFlower,theVirginMary,christian,AttributeSimulation,the Virgin Mary
11,jasmine,theVirginMary,christian,AttributeSimulation,the Virgin Mary
12,lemon,theVirginMary,christian,EmblematicSimulation,the Virgin Mary
13,ladybug,theVirginMary,middleAges,AssociationSimulation,the Virgin Mary
14,marigold,theVirginMary,christian,AttributeSimulation,the Virgin Mary
15,palmTree,theVirginMary,christian,Simulation,the Virgin Mary
16,pentacle,theVirginMary,christian,Simulation,the Virgin Mary
17,myrrh,theVirginMary,christian,AttributeSimulation,the Virgin Mary
18,oak,theVirginMary,christian,Simulation,the Virgin Mary
19,myrtle,theVirginMary,christian,AttributeSimulation,the Virgin Mary
20,sapphire,theVirginMary,christian,EmblematicSimulation,the Virgin Mary
21,roseFlower,theVirginMary,christian,Simulation,the Virgin Mary
22,pomegranate,theVirginMary,christian,AttributeSimulation,the Virgin Mary
23,tower,theVirginMary,christian,Simulation,the Virgin Mary
24,arkOfTheCovenant,theVirginMary,christian,Simulation,the Virgin Mary
25,almondBlossom,theVirginMary,christian,AttributeSimulation,the Virgin Mary
26,cyclamen,theVirginMary,christian,AttributeSimulation,the Virgin Mary
27,closedOrTurretedGate,theVirginMary,christian,EmblematicSimulation,the Virgin Mary
28,bower,theVirginMary,christian,Simulation,the Virgin Mary
29,bowl,theVirginMary,christian,AttributeSimulation,the Virgin Mary
30,bunchOfKeys,theVirginMary,christian,AttributeSimulation,the Virgin Mary
31,burningBush,theVirginMary,christian,Simulation,the Virgin Mary
32,bramble,theVirginMary,christian,AttributeSimulation,the Virgin Mary
33,carnation,theVirginMary,generalOrUnknown,Simulation,the Virgin Mary
34,asphodel,theVirginMary,christian,AttributeSimulation,the Virgin Mary
35,crocus,theVirginMary,generalOrUnknown,EmblematicSimulation,the Virgin Mary
36,camphor,theVirginMary,christian,AttributeSimulation,the Virgin Mary
37,daisy,theVirginMary,christian,AttributeSimulation,the Virgin Mary
38,cincture,theVirginMary,christian,AttributeSimulation,the Virgin Mary
39,fleurDeLis,theVirginMary,christian,AttributeSimulation,the Virgin Mary
40,crownOfStars,theVirginMary,christian,AttributeSimulation,the Virgin Mary
41,fruit,theVirginMary,christian,Simulation,the Virgin Mary
42,irisFlower,theVirginMary,christian,AttributeSimulation,the Virgin Mary
43,girdleCincture,theVirginMary,christian,AttributeSimulation,the Virgin Mary
44,fountain,theVirginMary,christian,EmblematicSimulation,the Virgin Mary
45,fennel,theVirginMary,christian,AttributeSimulation,the Virgin Mary
46,heartPiercedWithSwordSometimesTheHeartHasWings,theVirginMary,christian,Simulation,the Virgin Mary
47,ivory,theVirginMary,christian,AttributeSimulation,the Virgin Mary
48,lily,theVirginMary,christian,AttributeSimulation @ Simulation,the Virgin Mary
49,lizard,theVirginMary,christian,AttributeSimulation,the Virgin Mary
50,goldOrWhiteNimbus,theVirginMary,christian,AttributeSimulation,the Virgin Mary
51,orangeFruit,theVirginMary,christian,AttributeSimulation,the Virgin Mary
52,musk,theVirginMary,christian,AttributeSimulation,the Virgin Mary
53,pomegranateOrchard,theVirginMary,christian,AttributeSimulation,the Virgin Mary
54,pearl,theVirginMary,christian,AttributeSimulation,the Virgin Mary
55,pitcherWithDishAndTwoFish,theVirginMary,christian,AttributeSimulation,the Virgin Mary
56,peachFruit,theVirginMary,christian,AttributeSimulation,the Virgin Mary
57,palmCypressAndOlive,theVirginMary,christian,Simulation,the Virgin Mary
