symbol,label
aMGPDT,A.M.G.P.D.T.
broomSweeping,broom (sweeping)
broomSweeping,broom (sweeping)
zither,zither
zither,zither
zither,zither
almsBowl,alms bowl
almsBowl,alms bowl
almsBowl,alms bowl
almsBowl,alms bowl
almuce,almuce
alnusNepalensis,Alnus nepalensis
alohaOe,Aloha ʻOe
alohaShirt,Aloha shirt
alphaUrsaeMajoris,Alpha Ursae Majoris
alphorn,Alphorn
alpineMuskDeer,Alpine musk deer
alsophilaDealbata,Alsophila dealbata
alstoniaScholaris,Alstonia scholaris
althaeaFrutex,althaea frutex
alYoung,Al Young
aM,A.M.
aM,A.M.
aM,A.M.
aM,A.M.
aMariUsqueAdMare,A mari usque ad mare
amazement,amazement
amazone,amazone
amazonWoman,Amazon Woman
ambrosiaPlant,ambrosia (plant)
americaFootball,america-football
americanBadger,American badger
americanCreed,American Creed
americanFlag,American Flag
americanFlamingo,American flamingo
americanGoldfinch,American goldfinch
americanShad,American shad
aMGPDT,A.M.G.P.D.T.
aMGPDT,A.M.G.P.D.T.
amhrNNaBhfiann,Amhrán na bhFiann
ammit,Ammit
ammit,Ammit
ammit,Ammit
ammolite,Ammolite
amorphophallusTitanum,Amorphophallus titanum
analogion,analogion
andDidThoseFeetInAncientTime,And did those feet in ancient time
andriyivskyyDescent,Andriyivskyy Descent
anemoneCoronaria,Anemone coronaria
anemones,anemones
angelOfIndependence,Angel of Independence
angkorWat,Angkor Wat
angolaAvante,Angola Avante
angrecum,angrecum
anigozanthosManglesii,Anigozanthos manglesii
animusInConsulendoLiber,Animus in consulendo liber
ankles,ankles
annuitCPtis,Annuit cœptis
anthemOfEurope,Anthem of Europe
anthemOfMayDay,Anthem of May Day
anthemOfTheArmenianSovietSocialistRepublic,Anthem of the Armenian Soviet Socialist Republic
anthemOfTheAzerbaijanSovietSocialistRepublic,Anthem of the Azerbaijan Soviet Socialist Republic
anthemOfTheBulgarianEducation,Anthem of the Bulgarian Education
anthemOfTheByelorussianSovietSocialistRepublic,Anthem of the Byelorussian Soviet Socialist Republic
anthemOfTheGeorgianSovietSocialistRepublic,Anthem of the Georgian Soviet Socialist Republic
anthemOfTheKazakhSovietSocialistRepublic,Anthem of the Kazakh Soviet Socialist Republic
anthemOfTheKirghizSovietSocialistRepublic,Anthem of the Kirghiz Soviet Socialist Republic
anthemOfTheMoldavianSovietSocialistRepublic,Anthem of the Moldavian Soviet Socialist Republic
anthemOfTheRepublicOfKazakhstan,Anthem of the Republic of Kazakhstan
anthemOfTheTajikSovietSocialistRepublic,Anthem of the Tajik Soviet Socialist Republic
anthemOfTheTurkmenSovietSocialistRepublic,Anthem of the Turkmen Soviet Socialist Republic
anthemOfTheUzbekSovietSocialistRepublic,Anthem of the Uzbek Soviet Socialist Republic
anthropomorphicRepresentationOfMotherEarth,anthropomorphic representation of Mother Earth
antichrist,Antichrist
antigoSoil,Antigo (soil)
aNuevoMXico,A Nuevo México
anythingRelatingToBeauty,anything relating to Beauty.
apacheTrout,Apache trout
aPortuguesa,A Portuguesa
appleOfDiscord,Apple of Discord
aqueduct,aqueduct
aquilariaMalaccensis,Aquilaria malaccensis
aquilegiaCoerulea,Aquilegia coerulea
aquilegiaSaximontana,Aquilegia saximontana
arasRiver,Aras (river)
archeryInBhutan,Archery in Bhutan
ardulfurataini,Ardulfurataini
argentineNationalAnthem,Argentine National Anthem
argentineWine,Argentine wine
arirang,Arirang
ariseOCompatriots,"Arise, O Compatriots"
aristotle,Aristotle
arizonaTreeFrog,Arizona tree frog
arkansasSong,Arkansas (song)
arkansasYouRunDeepInMe,Arkansas (You Run Deep in Me)
armageddon,Armageddon
armageddon,Armageddon
armAndHammer,Arm and hammer
armenianCross,Armenian Cross
armenianEternitySign,Armenian eternity sign
armorialOfGibraltar,Armorial of Gibraltar
armorialOfGovernorsGeneralAndPresidentsOfSouthAfrica,Armorial of Governors-General and Presidents of South Africa
armorialOfIndonesia,Armorial of Indonesia
armorialOfUkraine,Armorial of Ukraine
armorialOfVenezuela,Armorial of Venezuela
armour,armour
bloodPheasant,Blood pheasant
blueberry,Blueberry
blueberryPie,Blueberry pie
blueCrane,Blue crane
bluegill,Bluegill
blueHillsOfMassachusetts,Blue Hills of Massachusetts
bluenose,Bluenose
bluenoseIi,Bluenose II
blueRockThrush,Blue rock thrush
blueSpruce,Blue spruce
blueWaterLilyOrBlueLotus,Blue Water-Lily Or Blue Lotus
blythSTragopan,Blyth's tragopan
boEPravde,Bože pravde
bogurodzica,Bogurodzica
bohdanKhmelnytskyMonumentKyiv,"Bohdan Khmelnytsky Monument, Kyiv"
bohemianCrownJewels,Bohemian Crown Jewels
boilDisease,boil (disease)
